T,M,D,K,C,Val,DK,DKC
9,4,C1,P3,S1,37.56179249911955,"C1,P3","C1,P3,S1"
9,4,C1,P3,S4,-942.4382075008805,"C1,P3","C1,P3,S4"
9,4,C1,P3,S6,22.56179249911955,"C1,P3","C1,P3,S6"
9,4,C2,P3,S1,-942.4382075008805,"C2,P3","C2,P3,S1"
9,4,C2,P3,S4,-927.4382075008805,"C2,P3","C2,P3,S4"
9,4,C2,P3,S6,32.56179249911955,"C2,P3","C2,P3,S6"
10,0,C1,P3,S1,38.46617457412836,"C1,P3","C1,P3,S1"
10,0,C1,P3,S4,-941.5338254258717,"C1,P3","C1,P3,S4"
10,0,C1,P3,S6,23.466174574128356,"C1,P3","C1,P3,S6"
10,0,C2,P3,S1,-941.5338254258717,"C2,P3","C2,P3,S1"
10,0,C2,P3,S4,-926.5338254258717,"C2,P3","C2,P3,S4"
10,0,C2,P3,S6,33.46617457412836,"C2,P3","C2,P3,S6"
10,1,C1,P3,S1,38.46617457412836,"C1,P3","C1,P3,S1"
10,1,C1,P3,S4,-941.5338254258717,"C1,P3","C1,P3,S4"
10,1,C1,P3,S6,23.466174574128356,"C1,P3","C1,P3,S6"
10,1,C2,P3,S1,-941.5338254258717,"C2,P3","C2,P3,S1"
10,1,C2,P3,S4,-926.5338254258717,"C2,P3","C2,P3,S4"
10,1,C2,P3,S6,33.46617457412836,"C2,P3","C2,P3,S6"
10,2,C1,P3,S1,38.46617457412836,"C1,P3","C1,P3,S1"
10,2,C1,P3,S4,-941.5338254258717,"C1,P3","C1,P3,S4"
10,2,C1,P3,S6,23.466174574128356,"C1,P3","C1,P3,S6"
10,2,C2,P3,S1,-941.5338254258717,"C2,P3","C2,P3,S1"
10,2,C2,P3,S4,-926.5338254258717,"C2,P3","C2,P3,S4"
10,2,C2,P3,S6,33.46617457412836,"C2,P3","C2,P3,S6"
10,3,C1,P3,S1,38.46617457412836,"C1,P3","C1,P3,S1"
10,3,C1,P3,S4,-941.5338254258717,"C1,P3","C1,P3,S4"
10,3,C1,P3,S6,23.466174574128356,"C1,P3","C1,P3,S6"
10,3,C2,P3,S1,-941.5338254258717,"C2,P3","C2,P3,S1"
10,3,C2,P3,S4,-926.5338254258717,"C2,P3","C2,P3,S4"
10,3,C2,P3,S6,33.46617457412836,"C2,P3","C2,P3,S6"
10,4,C1,P3,S1,38.46617457412836,"C1,P3","C1,P3,S1"
10,4,C1,P3,S4,-941.5338254258717,"C1,P3","C1,P3,S4"
10,4,C1,P3,S6,23.466174574128356,"C1,P3","C1,P3,S6"
10,4,C2,P3,S1,-941.5338254258717,"C2,P3","C2,P3,S1"
10,4,C2,P3,S4,-926.5338254258717,"C2,P3","C2,P3,S4"
10,4,C2,P3,S6,33.46617457412836,"C2,P3","C2,P3,S6"
